HD 75289  |6139| 24|4.35|0.05|1.22|0.03| 0.30|0.02|1.201|0.014| 0.382|0.246
HD 76151  |5781| 17|4.44|0.05|0.93|0.03| 0.12|0.01|1.054|0.010| 0.295|0.211
HD 78429  |5742| 15|4.26|0.03|1.01|0.02| 0.07|0.01|0.987|0.009| 7.691|0.631
HD 78538  |5790| 13|4.50|0.03|0.97|0.02|-0.02|0.01|1.021|0.020| 1.108|1.063
HD 78558  |5759| 19|4.46|0.04|1.08|0.04|-0.42|0.01|0.827|0.008|11.705|0.122
HD 78612  |5838| 14|4.30|0.03|1.19|0.03|-0.24|0.01|0.928|0.009|11.578|0.206
HD 78747  |5814| 22|4.57|0.05|1.22|0.06|-0.65|0.02|0.802|0.005|11.568|0.301
HD 80883  |5198| 24|4.36|0.07|0.65|0.05|-0.27|0.02|0.777|0.016| 7.553|4.303
HD 81639  |5516| 16|4.39|0.05|0.81|0.03|-0.18|0.01|0.882|0.026| 2.839|2.939
HD 82342  |4470| 21|4.60|0.05|0.10|0.02|-0.56|0.10|     |     | 8.356|2.055
HD 82516  |5041| 57|4.47|0.12|0.50|0.15| 0.02|0.03|0.820|0.021| 4.609|4.087
HD 82943  |5992| 17|4.42|0.05|1.06|0.02| 0.28|0.01|1.145|0.013| 0.311|0.180
HD 83443  |5442| 49|4.32|0.10|0.84|0.07| 0.32|0.04|0.947|0.029| 3.558|3.260
HD 83529  |5909| 16|4.36|0.02|1.16|0.03|-0.22|0.01|0.938|0.010| 9.749|0.389
HD 85119  |5413| 22|4.50|0.05|0.88|0.04|-0.21|0.02|0.845|0.021| 2.903|2.617
HD 85390  |5135| 45|4.32|0.12|0.66|0.08|-0.09|0.02|0.808|0.019| 4.159|3.652
HD 85512  |4400| 45|4.36|0.10|0.02|0.05|-0.26|0.14|0.701|0.003| 4.557|4.125
HD 86065  |4863| 45|4.27|0.12|0.38|0.16|-0.03|0.02|0.769|0.017| 4.435|3.972
HD 86140  |4776| 70|4.40|0.18|0.15|0.57|-0.28|0.02|0.710|0.012| 4.624|4.089
HD 86171  |5394| 16|4.45|0.04|0.76|0.03|-0.25|0.01|0.829|0.022| 3.819|3.290
HD 87521  |4770| 71|4.31|0.16|0.47|0.23|-0.01|0.03|0.752|0.017| 4.334|3.979
HD 88084  |5765| 13|4.45|0.07|0.96|0.02|-0.10|0.01|0.976|0.022| 2.658|1.895
HD 88218  |5872| 17|4.14|0.03|1.23|0.03|-0.14|0.01|1.033|0.007| 8.701|0.192
HD 88656  |5099| 30|4.35|0.07|0.69|0.06|-0.12|0.02|0.797|0.018| 5.248|4.224
HD 88742  |6004| 17|4.52|0.09|1.05|0.03| 0.00|0.01|1.096|0.013| 0.264|0.168
HD 89454  |5708| 13|4.45|0.03|0.96|0.02| 0.11|0.01|1.031|0.013| 0.740|0.628
HD 90156  |5591| 11|4.45|0.03|0.86|0.02|-0.25|0.01|0.840|0.015| 9.414|2.030
HD 90711  |5396| 39|4.33|0.09|0.87|0.06| 0.21|0.03|0.936|0.028| 3.487|3.150
HD 90812  |5118| 24|4.35|0.06|0.50|0.06|-0.38|0.01|0.745|0.016| 3.773|3.630
HD 92588  |5105| 24|3.60|0.05|0.94|0.03|-0.02|0.02|1.216|0.022| 4.999|0.360
HD 92719  |5812| 13|4.47|0.07|0.98|0.02|-0.11|0.01|1.008|0.010| 0.423|0.374
HD 92788  |5729| 24|4.35|0.06|0.91|0.03| 0.27|0.02|1.042|0.018| 3.133|1.730
HD 93083  |5048| 66|4.32|0.16|0.81|0.12| 0.08|0.04|0.819|0.021| 4.130|3.936
HD 93380  |4512| 20|4.61|0.05|0.05|0.01|-0.68|0.12|     |     | 4.544|4.068
HD 93385  |5989| 17|4.46|0.03|1.15|0.02| 0.03|0.01|1.091|0.015| 1.342|1.016
HD 94151  |5581| 16|4.40|0.04|0.86|0.03| 0.04|0.01|0.961|0.020| 2.238|2.056
HD 95456  |6311| 19|4.38|0.06|1.41|0.03| 0.18|0.01|1.270|0.010| 1.362|0.239
HD 95521  |5762| 12|4.46|0.05|0.95|0.02|-0.15|0.01|0.977|0.018| 1.057|1.077
HD 96423  |5701| 17|4.35|0.04|0.93|0.02| 0.10|0.01|1.006|0.019| 3.013|1.880
HD 96700  |5854| 12|4.39|0.05|1.06|0.02|-0.18|0.01|0.924|0.008| 9.751|0.547
HD 97037  |5890| 18|4.32|0.04|1.13|0.03|-0.07|0.01|0.988|0.008| 7.393|0.458
HD 97343  |5385| 18|4.31|0.05|0.78|0.03|-0.08|0.01|0.843|0.007|10.770|1.044
HD 97998  |5725| 18|4.53|0.06|0.94|0.04|-0.42|0.01|0.849|0.023| 5.267|3.296
HD 98281  |5389| 19|4.39|0.08|0.77|0.03|-0.27|0.01|0.820|0.023| 4.402|3.970
HD 98356  |5274| 45|4.35|0.09|0.75|0.07| 0.09|0.03|0.881|0.026| 4.232|3.885
HD 100508 |5384| 66|4.39|0.11|0.88|0.10| 0.35|0.04|0.931|0.031| 5.070|4.088
HD 100777 |5530| 25|4.31|0.05|0.76|0.04| 0.25|0.02|0.974|0.024| 3.770|3.111
HD 101581 |4615| 56|4.40|0.17|0.11|0.85|-0.51|0.09|0.700|0.000| 4.477|4.032
HD 101930 |5083| 63|4.35|0.13|0.58|0.14| 0.16|0.04|0.848|0.022| 4.237|3.904
HD 102117 |5620| 28|4.28|0.05|0.98|0.04| 0.26|0.02|0.988|0.012| 8.308|0.887
HD 102365 |5616| 41|4.40|0.06|0.86|0.08|-0.28|0.03|0.855|0.024| 8.794|3.079
HD 102438 |5562| 12|4.43|0.08|0.86|0.02|-0.29|0.01|0.822|0.012|10.021|1.468
HD 103949 |4774| 80|4.49|0.21|0.43|0.31|-0.07|0.04|0.740|0.017| 4.220|3.977
HD 104006 |5046| 32|4.58|0.06|0.28|0.16|-0.78|0.02|0.700|0.000| 5.087|4.269
HD 104067 |4888| 72|4.35|0.19|0.66|0.17|-0.04|0.04|0.779|0.018| 4.524|3.974
HD 104263 |5456| 19|4.35|0.04|0.75|0.03| 0.01|0.01|0.891|0.022| 7.213|4.284
HD 104982 |5682| 13|4.42|0.03|0.91|0.02|-0.20|0.01|0.900|0.025| 5.526|3.390
HD 105671 |4571|104|4.41|0.27|0.23|0.84| 0.09|0.08|0.728|0.014| 4.446|4.011
HD 105837 |5932| 23|4.60|0.06|1.24|0.06|-0.50|0.02|0.853|0.015| 9.712|1.632
HD 106116 |5656| 17|4.35|0.03|0.89|0.02| 0.13|0.01|0.984|0.014| 5.625|1.285
HD 106275 |4978| 53|4.33|0.11|0.59|0.13|-0.13|0.03|0.780|0.018| 5.388|4.179
HD 107148 |5744| 24|4.30|0.03|0.93|0.03| 0.28|0.02|1.043|0.016| 3.946|1.919
HD 108147 |6318| 29|4.53|0.05|1.32|0.04| 0.21|0.02|1.244|0.005| 0.152|0.052
HD 108309 |5781| 12|4.24|0.05|1.08|0.02| 0.13|0.01|1.036|0.005| 7.178|0.279
HD 109200 |5056| 33|4.37|0.08|0.56|0.08|-0.35|0.02|0.744|0.014| 7.689|3.632
HD 109409 |5833| 24|4.11|0.06|1.19|0.03| 0.31|0.02|1.201|0.044| 4.601|0.744
HD 109423 |5040| 54|4.39|0.11|0.63|0.12|-0.06|0.03|0.784|0.019| 3.260|3.299
HD 110619 |5615| 12|4.52|0.03|0.91|0.03|-0.41|0.01|0.831|0.021| 4.675|3.282
HD 111031 |5749| 17|4.30|0.05|0.99|0.02| 0.26|0.01|1.039|0.009| 4.884|0.732
HD 111232 |5482| 13|4.46|0.03|0.73|0.03|-0.43|0.01|0.776|0.009|11.298|0.606
HD 112540 |5523| 18|4.48|0.06|0.80|0.03|-0.17|0.01|0.888|0.025| 2.533|2.634
HD 114386 |4774| 59|4.37|0.14|0.01|0.84|-0.09|0.01|0.752|0.016| 5.198|4.199
HD 114613 |5712| 20|3.94|0.05|1.17|0.02| 0.18|0.02|1.201|0.014| 5.057|0.099
HD 114729 |5865| 19|4.20|0.05|1.29|0.03|-0.26|0.02|0.946|0.012|11.011|0.318
HD 114747 |5086| 85|4.40|0.18|0.87|0.15| 0.21|0.04|0.851|0.021| 4.185|3.873
HD 114783 |5060| 72|4.37|0.16|0.76|0.13| 0.03|0.04|0.819|0.021| 4.216|3.960
HD 114853 |5698| 12|4.43|0.02|0.96|0.02|-0.23|0.01|0.880|0.018| 7.864|2.144
HD 115585 |5683| 28|4.19|0.05|1.01|0.03| 0.36|0.02|1.025|0.012| 7.914|0.602
HD 115617 |5537| 16|4.38|0.04|0.83|0.03|-0.03|0.01|0.891|0.014| 8.986|1.575
HD 115674 |5633| 16|4.43|0.07|0.81|0.03|-0.18|0.01|0.918|0.022| 2.451|1.930
HD 116858 |4913| 54|4.45|0.12|0.54|0.16|-0.22|0.02|0.743|0.017| 4.627|4.054
HD 116920 |4928| 53|4.37|0.11|0.48|0.15|-0.25|0.03|0.739|0.016| 4.706|4.069
HD 117105 |5912| 18|4.44|0.03|1.19|0.03|-0.28|0.01|0.909|0.010|10.302|0.518
HD 117207 |5649| 25|4.31|0.04|0.95|0.03| 0.21|0.02|1.005|0.018| 4.847|1.977
HD 117618 |6003| 12|4.45|0.03|1.16|0.02| 0.03|0.01|1.090|0.013| 2.077|1.081
HD 119638 |6111| 16|4.48|0.04|1.30|0.03|-0.13|0.01|1.073|0.016| 2.651|1.258
HD 119782 |5120| 37|4.41|0.08|0.60|0.09|-0.07|0.02|0.813|0.020| 4.885|4.175
HD 121504 |6022| 13|4.52|0.04|1.10|0.02| 0.14|0.01|1.143|0.013| 0.767|0.588
HD 122862 |6009| 15|4.25|0.06|1.34|0.02|-0.10|0.01|1.080|0.024| 6.339|0.538
HD 123265 |5311| 47|4.31|0.10|0.83|0.08| 0.18|0.03|0.906|0.027| 5.537|4.309
HD 124106 |5067| 45|4.48|0.09|0.61|0.10|-0.17|0.02|0.781|0.019| 4.646|4.109
HD 124292 |5426| 18|4.37|0.03|0.76|0.03|-0.14|0.01|0.835|0.013|10.184|2.358
